"What is keratoconus?","Keratoconus is a condition where the cornea thins and bulges into a cone shape, causing distorted vision."
"How is color blindness diagnosed?","Color blindness is diagnosed using Ishihara plates, which test the ability to distinguish colored numbers or patterns."
"What is the function of the ciliary body?","The ciliary body produces aqueous humor and controls the shape of the lens for focusing (accommodation)."
"What causes night blindness?","Night blindness is often caused by vitamin A deficiency, retinitis pigmentosa, or cataracts."
"What is a pterygium?","A pterygium is a benign growth of conjunctival tissue that extends onto the cornea, often due to UV exposure."
"How does a tonometer work?","A tonometer measures intraocular pressure (IOP) by applying a small force to flatten the cornea."
"What is the macula?","The macula is the central part of the retina responsible for sharp, detailed central vision."
"What is the difference between emmetropia and ametropia?","Emmetropia is normal vision, while ametropia refers to refractive errors like myopia or hyperopia."
"What is a retinal detachment?","Retinal detachment occurs when the retina peels away from the underlying tissue, requiring urgent surgery."
"How are bifocal lenses designed?","Bifocal lenses have two zones: upper for distance and lower for near vision, separated by a visible line."
"What is uveitis?","Uveitis is inflammation of the uvea (iris, ciliary body, choroid), causing pain, redness, and light sensitivity."
"What is the role of the choroid?","The choroid supplies oxygen and nutrients to the retina and absorbs excess light."
"What is a corneal abrasion?","A corneal abrasion is a scratch on the cornea, often causing pain, tearing, and sensitivity to light."
"How is amblyopia treated?","Amblyopia (lazy eye) is treated with patching the stronger eye, corrective lenses, or vision therapy."
"What is the Schirmer test?","The Schirmer test measures tear production using a strip of filter paper placed under the lower eyelid."
"What is a hyphema?","A hyphema is blood in the anterior chamber of the eye, usually caused by trauma."
"What is the function of the vitreous humor?","The vitreous humor maintains the eye's shape and transmits light to the retina."
"What is nystagmus?","Nystagmus is involuntary rhythmic eye movement, often due to neurological issues or inner ear problems."
"How does a retinoscope work?","A retinoscope shines light into the eye to observe the reflex and determine refractive error."
"What is blepharitis?","Blepharitis is inflammation of the eyelids, causing redness, itching, and crusting at the base of eyelashes."
"What is the Amsler grid test?","The Amsler grid detects macular degeneration by identifying distortions in a grid of horizontal and vertical lines."
"What causes strabismus?","Strabismus (misaligned eyes) can result from muscle imbalance, nerve issues, or uncorrected refractive errors."
"What is an optic disc?","The optic disc is the point where the optic nerve exits the retina; it lacks photoreceptors (blind spot)."
"How is presbyopia corrected?","Presbyopia is corrected with reading glasses, bifocals, or progressive lenses."
"What is trachoma?","Trachoma is a bacterial infection causing eyelid scarring and blindness, spread through poor hygiene."
"What is the difference between open-angle and angle-closure glaucoma?","Open-angle glaucoma develops slowly with a blocked drainage angle, while angle-closure is sudden and painful."
